X,Y,fid,LAYER,NP,TIPO,CALLE,TIPO2,direccion,ID,icon_url
-58.3786684286652,-34.5843615350433,"1",NP-CONSOLIDADAS,"604",A,HUARI,Vivienda,HUARI 604,,./0.png
-58.3791427420979,-34.5840475601905,"2",NP-CONSOLIDADAS,"638",B,HUARI,Local comercial o Uso mixto con vivienda,HUARI 638,GU-0005-049,./0.png
-58.3827199995911,-34.583887727525,"3",NP-NO CONSOLIDADOS,"962",A,AYMARÁ,Vivienda,AYMARÁ 962,PO-106A-22B,./0.png
-58.3832321409789,-34.5835402267983,"4",NP-NO CONSOLIDADOS,"1998",A,AYMARÁ,Vivienda,AYMARÁ 1998,PO-106A-034,./0.png
-58.3829664398987,-34.5836633466521,"5",NP-NO CONSOLIDADOS,"1037",A,AYMARÁ,Vivienda,AYMARÁ 1037,PO-100A-019,./0.png
-58.3828312386225,-34.5837487700223,"6",NP-NO CONSOLIDADOS,"1003",A,AYMARÁ,Vivienda,AYMARÁ 1003,PO-0106-003,./0.png
-58.3825512553586,-34.5839366780868,"7",NP-NO CONSOLIDADOS,"923",O,AYMARÁ,"Organización social, religiosa o gubernamental",AYMARÁ 923,PO-0106-013,./0.png
-58.3825153398611,-34.5840113687344,"8",NP-NO CONSOLIDADOS,"906",A,AYMARÁ,Vivienda,AYMARÁ 906,PO-106A-019,./0.png
-58.3824306706476,-34.5840630092135,"9",NP-NO CONSOLIDADOS,"892",A,AYMARÁ,Vivienda,AYMARÁ 892,PO-106A-017,./0.png
-58.3823401846924,-34.5840529833381,"10",NP-NO CONSOLIDADOS,"863",A,AYMARÁ,Vivienda,AYMARÁ 863,PO-0106-018,./0.png
-58.3822545545656,-34.5841670985267,"11",NP-NO CONSOLIDADOS,"834",A,AYMARÁ,Vivienda,AYMARÁ 834,PO-106A-014,./0.png
-58.3822173708484,-34.5841867212708,"12",NP-NO CONSOLIDADOS,"822",A,AYMARÁ,Vivienda,AYMARÁ 822,PO-106A-013,./0.png
-58.3817012915121,-34.5844614270179,"13",NP-NO CONSOLIDADOS,"760",A,AYMARÁ,Vivienda,AYMARÁ 760,PO-103A-015,./0.png
